Company Name,Shorthand Company Name,Sector,Industry,Size (2019 Revenue),Net Earnings/Income (2019),IPO Year,S&P 100? (Y/N),Carbon Neutral Goal? (Y/N),Science-Based Target? (Y/N),Carbon Neutral by.... (year),Carbon Neutral Announcement (year),Carbon Goal (if non-zero),Reliance on Offsets? (Y/N),RE100 Commitment? (Y/N),100% Renewable Energy by... (year),2019 Scope 1 (MeT Co2),2019 Scope 2 ,2019 Offsets Purchased,2019 Net Scope 1 + 2 Emissions,2019 Scope 3 ,"2019 Total Scope 1, 2 + 3",2018 Scope 1,2018 Scope 2,2018 Offsets Purchased,2018 Net Scope 1 + 2 Emissions,2018 Scope 3,"2018 Total Scope 1, 2 + Scope 3",2017 Scope 1,2017 Scope 2,2017 Offsets Purchased,2017 Net Scope 1 + 2 Emissions,2017 Scope 3,"2017 Total Scope 1, 2 + 3",2016 Scope 1,2016 Scope 2,2016 Offsets Purchased,2016 Net Scope 1 + 2 Emissions,2016 Scope 3,"2016 Total Scope 1, 2 + 3",2015 Scope 1,2015 Scope 2,2015 Offsets Purchased,2015 Net Scope 1 + 2 Emissions,2015 Scope 3,"2015 Total Scope 1, 2 + 3",Policy Arm?,Initiatives for Carbon Neutrality,Notes,Sources
McDonald's Corp.,McDonald's ,Consumer Discretionary,Food & Beverage,$21 076 000 000 ,$6 025 000 000 ,1965,Y,N,Y,,,36% reduction from 2015 to 2030,,N,,  107 035 ,  492 114 ,,  599 149 ,  52 955 642 ,  53 554 791 ,  111 499 ,  491 053 ,,  602 552 ,  36 290 894 ,  36 893 446 ,  151 000 ,  764 000 ,,  915 000 ,,  915 000 ,  182 000 ,  1 780 000 ,,  1 962 000 ,  36 677 198 ,  38 639 198 ,  178 000 ,  2 030 000 ,,  2 208 000 , NR ,  ,,"- Work across its supply chain, offices and restaurants to be more innovative and efficient through improvements such as investing in renewable energy, LED lighting, energy efficient kitchen equipment, sustainable packaging, restaurant recycling, and by elevating and supporting sustainable agriculture practices
- In collaboration with thousands of franchisees, suppliers and producers, McDonald’s will prioritize action on the largest segments of its carbon footprint: beef production, restaurant energy usage and sourcing, packaging and waste
- Goal of 31% reduction in emissions intensity (per metric ton of food and packaging) across our supply chain by 2030 from 2015 levels
- Working with farmers, ranchers, beef suppliers, and industry leaders to identify, magnify and share best practices on farming, grazing, and conservation, in ways that empower more producers to adopt sustainability practices
- Innovations and programs to promote energy efficiency and renewable energy. This includes equipment and building design innovation, energy monitoring, and crew training programs","Beef, energy, and packaging are biggest drivers of environmental footprint","- https://corporate.mcdonalds.com/corpmcd/scale-for-good/esg-reporting/progress-and-performance.html#3
- https://corporate.mcdonalds.com/corpmcd/scale-for-good/climate-action.html
- https://corporate.mcdonalds.com/content/dam/gwscorp/nfl/scale-for-good/McDonalds_CDP_Climate_Change_2018.pdf
- https://corporate.mcdonalds.com/content/dam/gwscorp/nfl/scale-for-good/CDP%20Climate%20Change_2017_McDonald%27s.pdf"
Medtronic,Medtronic,Healthcare,Medical Devices,$30 557 000 000 ,$4 631 000 000 ,1982,Y,N,N,,,15% reduction in Scope 1 + 2 emissions from 2013 to 2020,,N,,  62 931 ,  225 841 ,,  288 772 ,  278 482 ,  567 254 ,  65 312 ,  233 364 ,,  298 676 ,  238 792 ,  537 468 ,  74 992 ,  269 008 ,,  344 000 ,,  344 000 , N , N , N ,  , N ,  , N , N , N ,  , N ,  ,,"- Manufacturing facilities account for most of our energy consumption, water use, and waste generation. At those siteswe use management systems, based on the ISO 14001 and OHSAS 18001 standards, to track EHS performance
- Program to convert all Medtronic lighting to LED bulbs
- Optimization initiative focused on global building automation, HVAC, and compressed air systems
- Sourcing renewable grid electricity has been part of our energy strategy since 2007. In FY19, we sourced 22,000 MWh of renewable energy",Scope 3 non-exhaustive,"- https://www.medtronic.com/content/dam/medtronic-com/global/Corporate/citizenship/documents/2019-integrated-performance-report.pdf
- https://www.medtronic.com/content/dam/medtronic-com/global/Corporate/Documents/2018-integrated-performance-report.pdf
- https://www.medtronic.com/content/dam/medtronic-com/global/Corporate/Documents/integrated-performance-report.pdf
- https://www.medtronic.com/content/dam/medtronic-com/us-en/corporate/documents/17267.MED.Sustainability.Report_4_FINAL%20NOV%208.pdf"
Merck & Co.,Merck ,Healthcare,Drug Manufacturers,$42 290 000 000,$6 220 000 000,,Y,N,N,,,40% Scope 1 + 2 reduction from 2015 to 2025,,N,2040 (not a RE100 signatory),  755 340 ,  316 630 ,,  1 071 970 ,  6 965 600 ,  8 037 570 ,  783 500 ,  389 700 ,,  1 173 200 ,  6 231 700 ,  7 404 900 ,  801 600 ,  462 500 ,,  1 264 100 ,  6 586 000 ,  7 850 100 ,  847 400 ,  562 200 ,,  1 409 600 ,  7 975 100 ,  9 384 700 ,  865 100 ,  635 900 ,,  1 501 000 , NR ,  ,,"- By 2025, we will reduce global Scope 1 and market-based Scope 2 GHG emissions by at least 40% from 2015 levels
- By 2025, at least 50% of our purchased electricity will come from renewable sources. By 2040, 100% of our purchased electricity will come from renewable sources
- Established an Energy Capital Fund of up to $12 million per year in order to transition to more energy-efficient technology
- Converted US Sales fleet vehicles to more fuel-efficient versions to increase average mpg from 22 to 28 from 2008 to 2018
- All new buildings are designed to be LEED Silver or higher
- Long-standing partnership with the U.S. EPA's ENERGY STAR® program, which provides a broad energy-management strategy",,"- https://www.msdresponsibility.com/environmental-sustainability/
- https://www.msdresponsibility.com/environmental-sustainability/climate-change-energy-use/"
MetLife Inc.,MetLife,Financial Services,Insurance,$67 941 000 000,$5 070 000 000,2000,Y,Y,N,2016,2015,,Y,N,,  13 613 ,  -   ,,  13 613 ,  25 959 ,  39 572 ,  16 016 ,  -   ,,  16 016 ,  26 381 ,  42 397 ,  15 722 ,  -   ,,  15 722 ,  34 019 ,  49 741 ,  17 555 ,  -   ,,  17 555 ,  34 019 ,  51 574 ,  19 780 ,  67 962 ,,  87 742 ,  36 166 ,  123 908 ,N,"- Required all 103 suppliers to disclose their GHG emissions and emissions reduction activities publicly in 2019
- Supports third-party certified carbon reduction projects in markets where we operate around the world (reforestation in Mississippi, replacement of coal-fired stoves in China, conservation of Colombia rainforest)
- Capital improvement projects and facility upgrades for building efficiency, including lighting retrofits, chiller and boiler replacements, LED lighting systems, demand metering, and occupancy-sensor installations
- 25% of buildings are LEED certified
- Invested $18.3 billion in green investments such as renewable energy projectsa and RECs in 2019
-Policy- membership in environmental associations but not talking about active policy lobbying
- Scope 3 is business air travel only",- first U.S. insurer to achieve carbon neutrality (2016),"- https://www.metlife.com/sustainability/MetLife-sustainability/climate/energy-emissions/
- https://sustainabilityreport.metlife.com/content/dam/metlifecom/us/sustainability/pdf/report/2019/2019-sustainability-report.pdf"
Microsoft Corp.,Microsoft ,Technology,Software,$125 800 000 000,$39 240 000 000,1986,Y,Y,Y,2030,2020,,Y,Y,2014,  113 412 ,  275 375 ,,  388 787 ,  11 322 213 ,  11 711 000 ,  90 723 ,  183 329 ,,  274 052 ,  11 820 948 ,  12 095 000 ,  97 639 ,  139 110 ,,  236 749 ,  10 963 251 ,  11 200 000 ,  94 651 ,  37 087 ,,  131 738 ,  11 155 883 ,  11 287 621 ,  94 548 ,  1 697 297 ,,  1 791 845 ,  9 050 676 ,  10 842 521 ,Y,"- Implemented an internal carbon fee in 2012 to charge direct emissions and those of suppliers -- helps fund carbon emission reductions ($15/metric ton for Scope 3)
- Launching an initiative to use Microsoft technology to help our suppliers and customers around the world reduce their own carbon footprints
- Created a new $1 billion climate innovation fund to accelerate the global development of carbon reduction, capture, and removal technologies (portfolio of negative emission technologies (NET) potentially including afforestation and reforestation, soil carbon sequestration, bioenergy with carbon capture and storage (BECCs), and direct air capture (DAC))
- Will now make carbon reduction an explicit aspect of our procurement processes for supply chain
- Uses voice and advocacy supporting public policy that will accelerate carbon reduction and removal opportunities
- By 2050 Microsoft will remove from the environment all the carbon the company has emitted either directly or by electrical consumption since it was founded in 1975
-support policy for accelerating carbon reduction and removal",,"- https://blogs.microsoft.com/blog/2020/01/16/microsoft-will-be-carbon-negative-by-2030/
- file:///C:/Users/pfedm/Downloads/Microsoft_2017_Environmental_Data_Factsheet.pdf
- https://query.prod.cms.rt.microsoft.com/cms/api/am/binary/RE3455q"
Mondelez International,Mondelez,Consumer Staples,Food & Beverage,$25 870 000 000 ,$3 870 000 000 ,2012,Y,N,Y,,,"Reduce Scope 1, 2 + 3 emissions by 10% from 2018 to 2025",,N,,  856 590 ,  906 349 ,,  1 762 939 ,  19 852 210 ,  21 615 149 ,  819 933 ,  958 647 ,,  1 778 580 ,  21 729 924 ,  23 508 504 ,  778 304 ,  907 536 ,,  1 685 840 ,  12 217 015 ,  13 902 855 ,  812 564 ,  987 618 ,,  1 800 182 ,  12 578 434 ,  14 378 616 ,  757 010 ,  772 308 ,,  1 529 318 ,  15 456 021 ,  16 985 339 ,,"- Reduced energy consumption by improving energy management systems and investing in energy efficient technologies in our factories
- Using low-carbon renewable energy sources
- In late 2015, our chocolate factory in Upplands Väsby, Sweden converted heavy oil burners to use waste vegetable oil instead, significantly reducing CO2 emissions while saving operating costs",Poor reporting -- only links to CDP Disclosures,"- https://www.mondelezinternational.com/-/media/Mondelez/Snacking-Made-Right/Impact-Reporting/Measuring-Our-Progress/Additional-Resources-2/CDP-ClimateChange2019_Final.pdf
- https://www.mondelezinternational.com/-/media/Mondelez/PDFs/Mdlz-CDP-C_2018submission.pdf
- https://www.mondelezinternational.com/-/media/Mondelez/Snacking-Made-Right/Impact-Reporting/Measuring-Our-Progress/Additional-Resources-2/cdpclimate20162125.pdf
- https://www.mondelezinternational.com/~/media/MondelezCorporate/uploads/downloads/cdpClimate2017.pdf"
Morgan Stanley,Morgan Stanley,Financial Services,Asset Management,$41 419 000 000,$8 512 000 000,1935,Y,Y,N,2022,2017,,,Y,2022,  28 300 ,  176 200 ,,  204 500 ,  1 374 540 ,  1 579 040 ,  29 800 ,  183 900 ,,  213 700 ,  1 227 000 ,  1 440 700 ,  29 450 ,  178 350 ,,  207 800 ,  1 357 000 ,  1 564 800 ,  27 610 ,  237 080 ,,  264 690 ,  2 058 261 ,  2 322 951 ,  33 870 ,  272 720 ,,  306 590 ,  1 591 300 ,  1 897 890 ,,,- Appointed a Chief Sustainability Officer for the first time in 2017,"- https://www.morganstanley.com/pub/content/dam/msdotcom/about-us/giving-back/sustainability-at-morgan-stanley/Morgan_Stanley_2018_CDP_Climate_Change_Response.pdf
- https://www.morganstanley.com/pub/content/dam/msdotcom/about-us/giving-back/sustainability-at-morgan-stanley/Morgan_Stanley_2019_CDP_Climate_Change_Response.pdf"
Netflix Inc.,Netflix,Communication Services,Entertainment,$20 160 000 000 ,$1 866 000 000 ,2002,Y,N,N,,,N,Y,N,N, NR , NR ,,  , NR ,  , NR , NR ,,  , NR ,  , NR , NR ,,  , NR ,  , NR , NR ,,  , NR ,  , NR , NR ,,  , NR ,  ,N,,"~50,000 MT CO2e is best guess for annual emissions. No reporting except to say that emissions were 300g / customer in 2014 and they have182.8 million subscribers today

Claim to use 100% renewable energy through the end of RECs","- https://netflixtechblog.com/netflix-streaming-more-energy-efficient-than-breathing-57658d47b9fd
- https://b8f65cb373b1b7b15feb-c70d8ead6ced550b4d987d7c03fcdd1d.ssl.cf3.rackcdn.com/cms/reports/documents/000/002/891/original/CDP-US-Report-2017.pdf?1512668320"
Nextera Energy Inc.,Nextera Energy,Utilities,Utilities,$19 204 000 000 ,$3 769 000 000 ,2014,Y,N,N,,,N,N,N,N, NR , NR ,,  107 082 396 , NR ,  , NR , NR ,,  90 006 931 , NR ,  , NR , NR ,,  93 387 385 , NR ,  , NR , NR ,,  100 072 736 , NR ,  , NR , NR ,,  , NR ,  ,Y,"-NextEra Energy conducts business under regulatory regimes that require CO2 rather than CO2e reporting. The SASB metric reported here is CO2e which includes emissions from power generation as well as auxiliary equipment, while other areas of our sustainability reporting convey CO2 from power generation only",Used CO2e multipliers to convert CO2 and NO2 metrics into total CO2e,- http://www.nexteraenergy.com/sustainability/overview/about-this-report/by-the-numbers.html
Nike Inc.,Nike,Consumer Discretionary,Clothing,$39 100 000 000,$4 000 000 000,1980,Y,Y,Y,2050,2020,25% Scope 1 + 2 reduction from 2015 to 2020 in key operations,N,Y,2025,  46 714 ,  209 065 ,,  255 779 ,  3 250 744 ,  3 506 523 ,  41 942 ,  218 240 ,,  260 182 ,  2 787 707 ,  3 047 889 ,  40 139 ,  224 489 ,,  264 628 ,  2 751 744 ,  3 016 372 ,  37 325 ,  225 772 ,,  263 097 ,  2 468 365 ,  2 731 462 ,  35 623 ,  228 680 ,,  264 303 ,  2 460 556 ,  2 724 859 ,"Yes - member of Oregon Business Alliance for Climate, which supports climate policy and a carbon price while investing in Oregon’s clean economy","- Innovating and sourcing innovative, lower-impact materials
- Driving more energy efficiency in our operations and within our supply chain
- Increasing renewable energy use throughout our operations and encouraging broader adoption throughout our supply chain
- Collaborating with other organizations (corporate peers, government and NGOs) to scale impact and create better market conditions for clean energy
- Decrease energy use and CO2e emissions 25% per unit in key operations (inbound and outbound logistics, distribution centers, headquarter locations, finished goods manufacturing, and NIKE-owned retail) from FY15 to FY20",,"- https://news.nike.com/news/nike-inc-reports-fiscal-2019-fourth-quarter-and-full-year-results
- https://s3-us-west-2.amazonaws.com/purpose-cms-production01/wp-content/uploads/2019/05/15172335/FY18-Nike-Impact-Report_Final.pdf
- https://purpose.nike.com/carbon-energy
- https://s3-us-west-2.amazonaws.com/purpose-cms-preprod01/wp-content/uploads/2020/04/10225416/FY19-Nike-Inc.-Impact-Report.pdf"
Nvidia,Nvidia,Technology,Electronics,$11 720 000 000,$4 141 000 000,1999,Y,N,N,,,A 15 percent greenhouse gas reduction—normalized per employee—by FY20 from baseline year FY14,,,65% by end of FY 2025,  2 695 ,  60 093 ,,  62 788 ,  427 730 ,  490 518 ,  2 370 ,  56 903 ,,  59 273 ,  326 648 ,  385 921 ,  2 571 ,  47 142 ,,  49 713 ,  277 014 ,  326 727 ,  2 419 ,  43 889 ,,  46 308 ,  237 579 ,  283 887 ,  3 339 ,  51 482 ,,  54 821 ,  114 259 ,  169 080 ,,"- Planning to implement an energy management system, certified to ISO 50001, in FY21
- LEED Gold certification for our new Silicon Valley headquarters building
- Focus on siting expansions strategically, managing our operations efficiently, and sourcing low-carbon and renewable forms of energy
- Deployed state-of-the-art cooling technology designed for NVIDIA server products
- Data centers have also been deployed with white surfaces to optimize reflective lighting
- Controllable, high-efficiency LED lighting is installed where artificial lighting is needed",,"- https://www.nvidia.com/content/dam/en-zz/Solutions/documents/FY2020-NVIDIA-CSR-Social-Responsibility.pdf
- https://images.nvidia.com/content/crr/2017/sustainability/pdf/2017-NVIDIA-Sustainability-Report-Final.pdf"
Occidental Petroleum,Occidental Petroleum,Energy,Oil and Gas,$21 230 000 000 ,($652 000 000),1986,Y,N,N,,,Planning to set 2030 GHG intensity targets later in 2020,Y - through their own carbon capture,N,,  22 430 197 ,  6 420 000 ,,  28 850 197 ,  103 000 000 ,  131 850 197 ,  10 370 000 ,  4 100 000 ,,  14 470 000 ,  71 000 000 ,  85 470 000 ,  11 300 000 ,  4 200 000 ,,  15 500 000 ,  63 000 000 ,  78 500 000 ,  10 490 000 ,  5 380 000 ,,  15 870 000 ,,  15 870 000 ,  9 300 000 ,  4 800 000 ,,  14 100 000 ,,  14 100 000 ,,"- Pursuing projects to obtain CO2 through direct air capture and by capturing emissions from third-party sources. In the near-term, the focus will be safe sequestration of CO2 while growing our EOR business. In the longerterm, we expect to expand the commercial use cases for CO2 within our portfolio
- A sensitivity analysis using a carbon price of $50 per metric ton is done for all projects above $5 million (increased from $40 per metric ton in 2018)
- Added an executive compensation metric related to the advancement of CCUS
- Aiming to end routine gas flaring by 2030",,"- https://www.oxy.com/SocialResponsibility/overview/SiteAssets/Pages/Social-Responsibility-at-Oxy/Assets/Occidental-Climate-Report-2019.pdf
- https://www.oxy.com/SocialResponsibility/overview/SiteAssets/Pages/Social-Responsibility-at-Oxy/Assets/Oxy%202018%20CDP%20survey%20response.pdf
- https://www.oxy.com/SocialResponsibility/overview/SiteAssets/Pages/Social-Responsibility-at-Oxy/Assets/Occidental-CDP_Climate_Change_Questionnaire_2019.pdf
- https://www.oxy.com/SocialResponsibility/overview/SiteAssets/Pages/Social-Responsibility-at-Oxy/HTML/performance%20-%20Copy.html#climateChange1
- https://www.oxy.com/SocialResponsibility/overview/SiteAssets/Pages/Social-Responsibility-at-Oxy/Assets/CDP%202017%20Climate%20Programme%20Report-Occidental.pdf
- https://www.oxy.com/SocialResponsibility/overview/Pages/Performance.aspx#climateChange1"
Oracle,Oracle,Technology,Software,$39 500 000 000 ,$11 080 000 000 ,1986,Y,N,N,,,"26% reduction in Scope 1 + 2 from 2015 to 2025 (from 370,414 to 340,041 MTCO2e)

65% reduction by 2050",,N,,  16 520 ,  349 022 ,,  365 542 ,  1 543 540 ,  1 909 082 ,  17 084 ,  362 448 ,,  379 532 ,  1 766 048 ,  2 145 580 ,  14 763 ,  403 160 ,,  417 923 ,  991 706 ,  1 409 629 ,  11 293 ,  354 428 ,,  365 721 ,  649 543 ,  1 015 264 ,  11 741 ,  358 673 ,,  370 414 ,,  370 414 ,,"- Increased renewable energy use and improved energy effciency
- Goal of 55% reduction in emissions per unit of energy consumed by 2025
- Investments in offering a 'Clean Cloud' for customers through energy efficiency and renewable energy",,"- http://www.oracle.com/us/corporate/citizenship/cdp-climate-change-response-5181041.pdf
- https://www.oracle.com/corporate/citizenship/sustainability/operations.html
- http://www.oracle.com/us/corporate/citizenship/cdp-investor-survey-response-2017-3809919.pdf
- https://www.oracle.com/us/assets/oracle-corp-citizenship-report-3941904.pdf
- https://www.oracle.com/a/ocom/docs/sustainability-at-oracle.pdf"
PayPal,PayPal,Financial Services,Credit Services,$17 770 000 000 ,$2 459 000 000 ,2002,Y,N,Y,,,,,N,,  9 900 ,  47 000 ,,  56 900 ,  32 100 ,  89 000 ,  10 600 ,  57 900 ,,  68 500 ,  31 100 ,  99 600 ,  9 600 ,  57 800 ,,  67 400 ,  24 500 ,  91 900 , NR , NR ,,  , NR ,  , NR , NR ,,  , NR ,  ,"Sort of -  joined the Renewable Energy Buyers Alliance (REBA) as a founding member to share best practices, build relationships, and gather insights into the latest corporate renewable energy procurement trends","- Cross-functional environmental working group is identifying potential cost-effective emissions reductions activities and building an indirect emissions management strategy for our global supply chain
- Continue to transition to LED lighting around the globe, which has reduced energy use and operational costs across many of our offices worldwide
- Joined the United for the Paris Agreement coalition to reinforce our support for meeting the goals set forth in the global Agreement
- Made substantial progress advancing our environmental management system in alignment with global standards, including ISO 14001. We enhanced our data management systems, refined reporting processes, and empowered teams to better manage performance","No reporting for 2016 and earlier

2017 and 2018 GHG emissions figures were revied in the 2019 report so the 2019 figures were used",- https://www.paypalobjects.com/marketing/web/us/globalimpact/PayPal_2019_Global_Impact_Report_FINAL.pdf
PepsiCo Inc.,PepsiCo,Consumer Staples,Food & Beverage,$67 160 000 000,$7 353 000 000,1999,Y,N,Y,,,Scope 1 & 2: Reduce absolute GHG emissions by at least 20% by 2030 from 2015 baseline,,N,2020,  3 552 415 ,  1 425 255 ,,  4 977 670 ,  50 465 066 ,  55 442 736 ,  3 577 266 ,  1 558 167 ,,  5 135 433 ,  62 817 980 ,  67 953 413 ,  3 734 520 ,  1 713 950 ,,  5 448 470 ,  62 817 980 ,  68 266 450 ,  3 798 343 ,  1 912 298 ,,  5 710 641 ,  62 817 971 ,  68 528 612 ,  3 766 456 ,  1 985 249 ,,  5 751 705 ,  63 000 000 ,  68 751 705 ,,"- Scope 1 & 2: Reduce absolute greenhouse gas (GHG) emissions by at least 20% by 2030 from 2015 baseline
- Scope 3: Reduce absolute greenhouse gas (GHG) emissions by at least 20% by 2030 from 2015 baseline
- Sustainable from the Start program helps our product development teams project and consider the environmental impact, carbon and water footprint, and packaging recyclability of a product",,"- https://www.pepsico.com/docs/album/esg-topics-policies/cdp_climate_change_2017_information_request_pepsico_final_submission-2.pdf?sfvrsn=d0608346_6
- https://www.pepsico.com/docs/album/esg-topics-policies/2019-cdp-climate-response.pdf?sfvrsn=feb57a1a_4
- https://www.pepsico.com/docs/album/esg-topics-policies/2018-cdp-climate-response.pdf?sfvrsn=3d7c9d36_6
- https://www.pepsico.com/docs/album/sustainability-report/2019-csr/2019_sustainability_report_summary.pdf"
Pfizer Inc.,Pfizer,Healthcare,Drug Manufacturers,$51 750 000 000,$16 270 000 000,1942,Y,N,Y,,,"20% GHG reduction from 2012 to 2020; 60-80% (75%) reduction from 2000 to 2050

2012 Scope 1 + 2: 2,131,885

2000 Scope 1 + 2: 3,597,487",,N,,  734 638 ,  634 205 ,,  1 368 843 ,  5 674 617 ,  7 043 460 ,  756 964 ,  905 002 ,,  1 661 966 ,  3 680 555 ,  5 342 521 ,  788 838 ,  812 923 ,,  1 601 761 , NR ,  ,  940 953 ,  1 106 924 ,,  2 047 877 ,  3 819 891 ,  5 867 768 ,  875 274 ,  625 591 ,,  1 500 865 ,  3 938 095 ,  5 438 960 ,N,"- Reduce greenhouse gas (GHG) emissions by 20% by 2020 compared to a 2012 baseline, which keeps us on the trajectory to reduce our GHG footprint by 60%-80% by 2050 from a 2000 base year",,"- https://pfe-pfizercom-prod.s3.amazonaws.com/responsibility/protecting_environment/Pfizer_2019_Climate_Change.pdf
- https://www.pfizer.com/sites/default/files/investors/financial_reports/annual_reports/2019/our-performance/key-performance-indicators/index.html
- https://www.pfizer.com/sites/default/files/investors/financial_reports/annual_reports/2019/assets/pfizer-2019-annual-review.pdf
- https://pfe-pfizercom-d8-prod.s3.amazonaws.com/2018_Pfizer_KPI_Dashboard.pdf
- https://www.cdp.net/en/formatted_responses/responses?campaign_id=66216852&discloser_id=825472&locale=en&organization_name=Pfizer+Inc.&organization_number=14683&program=Investor&project_year=2019&redirect=https%3A%2F%2Fcdp.credit360.com%2Fsurveys%2F9hz110bc%2F50007&survey_id=65670419"
Philip Morris International,Philip Morris,Consumer Staples,Tobacco,$79 820 000 000,$7 910 000 000,2008,Y,Y,Y,2030,2019,"From 2010 baseline, 30% reduction by 2020, 40% reduction by 2030, and 60% reduction by 2040

2010: Scope 1 - 443,186; Scope 2 - 470,864; Scope 3 - 7,435,000

Carbon neutral by 2030 for Scope 1 + 2 and by 2050 for Scopes 1, 2 + 3",Y,N,2030,  397 970 ,  159 188 ,,  557 158 ,  4 124 842 ,  4 682 000 ,  408 162 ,  175 785 ,,  583 947 ,  4 920 000 ,  5 503 947 ,  388 384 ,  241 355 ,,  629 739 ,  5 137 000 ,  5 766 739 ,  351 990 ,  314 049 ,,  666 039 ,  5 649 000 ,  6 315 039 ,  361 720 ,  329 323 ,,  691 043 ,  5 690 000 ,  6 381 043 ,,"- Projects focused on energy-efficient buildings, fuel control in manufacturing, and LED lighting
- Internal carbon price of USD 17 per ton of CO2e in order to allocate capital for the best return in terms of carbon reduction and cost-effectiveness
- Vehicle maintenance, ongoing switch to hybrid and more fuel-effi cient vehicles, and eco-driving behavior
- Work with tobacco farmers to help them reduce their emissions through (1) Supporting the implementation by our suppliers to plant trees in farmers’ communities, and commercial wood lots which are managed sustainably; (2) Improving the fuel effi ciency of flue-curing barns; and (3) Switching from high-carbon or unsustainable fuels, such as coal, to sustainable wood sources and a range of biomass products (wood pellets, agro-pellets, or other agricultural waste products.) 
- Investments in more efficient curing and curing fuel",,"- https://www.pmi.com/resources/docs/default-source/pmi-sustainability/pmi-sustainability-report-2018-low-res.pdf?sfvrsn=cada91b5_4
- https://www.pmi.com/docs/default-source/pmi-sustainability/pmi-sustainability-report-2017.pdf
- https://www.pmi.com/resources/docs/default-source/sustainability-reports-and-publications/pmi-sustainability-report-2018-highlights.pdf?sfvrsn=d4ef95b5_4"
Procter & Gamble,P&G,Consumer Staples,Household & Personal Products,$67 680 000 000,$3 890 000 000,1978,Y,N,Y,,,"30% Scope 1 + 2 reduction from 2010 to 2020

50% Scope 1 + 2 reduction from 2010 to 2030

2010 Scope 1 + 2: 5422275",N,N,2030,  2 210 000 ,  1 840 000 ,,  4 050 000 ,  381 313 043 ,  385 363 043 ,  2 143 000 ,  1 910 000 ,,  4 053 000 ,  235 218 042 ,  239 271 042 ,  2 122 000 ,  2 437 000 ,,  4 559 000 ,  235 218 042 ,  239 777 042 ,  2 099 000 ,  2 742 000 ,,  4 841 000 ,  210 173 353 ,  215 014 353 ,  2 268 000 ,  2 881 000 ,,  5 149 000 ,  210 173 353 ,  215 322 353 ,"Yes -  joined the Climate Leadership Council (CLC), which advocates for a Carbon Dividends Program in the US","- Reducing the intensity of greenhouse gas emissions (GHG) from our own operations through:
Driving energy efficiency measures throughout our facilities
Transitioning energy sources toward lower/zero carbon alternatives
Driving more energy-efficient modes of transporting finished products
- We will help consumers to reduce their own GHG emissions through the use of our products via:
Product and packaging innovations that enable more efficient consumer product use and energy consumption
Consumer education to reduce GHG emissions such as the benefits of using cold water for machine washing
- Work with partners across our value chain to ensure responsible sourcing of agricultural commodities that are known to be associated with deforestation risks (e.g. palm oil, wood pulp).
- Work with our suppliers to identify meaningful opportunities to reduce our Scope 3 emissions

- Internal Climate Council and Sustainability Leadership Council that meet quarterly to review sustainability initiatives
- Aim to reduce energy by 20% per unit of production by 2020",,"- https://us.pg.com/policies-and-practices/environmental-policies-and-practices/
- https://assets.ctfassets.net/oggad6svuzkv/6mGPEJVwbe0cIe8ywg2IcA/986dee6a8445a56cfdd30f40f99afd02/Climate_change_perspective.pdf
- https://assets.ctfassets.net/oggad6svuzkv/4v6eZmhIcES0Ei4YKI0yWy/3f80032b9b6e9307752fa4b217d85e22/FY_17-18_P_G_Assurance_Statement-ASR_authorized.pdf
- https://downloads.ctfassets.net/oggad6svuzkv/5AXke1Str22EYkYkIyO8QE/c876f5bb05e568aa71e7c1819059c37c/citizenship_report_2019.pdf
- https://downloads.ctfassets.net/oggad6svuzkv/5AXke1Str22EYkYkIyO8QE/c876f5bb05e568aa71e7c1819059c37c/citizenship_report_2019.pdf
- https://downloads.ctfassets.net/oggad6svuzkv/325tJmPxGEWQOgc6eGskKy/b69cb86ada52cfe97e468daadf20b741/2017_Full_Citizenship_Report.pdf
- https://downloads.ctfassets.net/oggad6svuzkv/325tJmPxGEWQOgc6eGskKy/b69cb86ada52cfe97e468daadf20b741/2017_Full_Citizenship_Report.pdf
- https://www.cdp.net/en/formatted_responses/responses?campaign_id=66216852&discloser_id=831392&locale=en&organization_name=Procter+%26+Gamble+Company&organization_number=15132&program=Investor&project_year=2019&redirect=https%3A%2F%2Fcdp.credit360.com%2Fsurveys%2F9hz110bc%2F50695&survey_id=65670419"
